medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Baloxin 100mg Tablet,Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Nausea, Diarrhea, Fever, Headache, Dizziness, Heartburn, Constipation, Indigestion, Urticaria, Feeling thirsty, Abdominal dysesthesia, Itching, Palpitations, Decreased appetite, Hypersensitivity, Increased liver enzymes, Increased blood urea nitrogen, Increased creatinine level in blood, Anemia (low number of red blood cells), Decreased white blood cell count (lymphocytes), Low blood platelets, Increased white blood cell count (eosinophils)","Balofloxacin (100mg), ANTI INFECTIVES"
Endoxan N 1000mg Injection,Cancer. Nephrotic syndrome,"It may be also used to treat other conditions, as determined by the doctor.Endoxan N 1000mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day.",It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked.,"It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked. It may be also used to treat other conditions, as determined by the doctor.Endoxan N 1000mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day","Vomiting, Nausea, Hair loss, Fever, Blood in urine, Diarrhea, Decreased white blood cell count (neutrophils)","Cyclophosphamide (1000mg), ANTI NEOPLASTICS"
Eyecon Eye Drop,Treatment of Allergic eye disease,It relieves redness and swelling of the eye and provides temporary relief from burning and discomfort.Eyecon Eye Drop is to be used only in the affected eye in the dose and duration as advised by the doctor.,Consult a doctor,Eyecon Eye Drop is a prescription medicine having a combination of medicines that is used to treat allergic diseases of the eye. Do not skip any doses and finish the full course of treatment even if you feel better,"Application site reactions (burning, irritation, itching and redness)","Chlorpheniramine Maleate (0.01% w/v), Naphazoline (0.056% w/v), Chlorpheniramine Maleate (0.01% w/v) + Naphazoline (0.056% w/v) + Zinc Sulphate Monohydrate (0.12% w/v) + Boric Acid (1.25% w/v), OPHTHAL"
Janumet 50mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,"The dose you are given will depend on your condition, blood sugar levels, and what other medicines you are taking.",Consult a doctor,This helps prevent serious complications of diabetes such as kidney damage and blindness and may reduce your chance of having a heart attack or stroke.Janumet 50mg/1000mg Tablet can be prescribed alone or together with other diabetes medications,"Hypoglycemia (low blood glucose level), Nausea, Vomiting, Diarrhea, Decreased appetite, Abdominal bloating, Upper respiratory tract infection","Sitagliptin (50mg), Metformin (1000mg), Sitagliptin (50mg) + Metformin (1000mg), ANTI DIABETIC"
Acderm Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Acolate Kid Nasal Drops,Treatment of Nasal congestion (blocked nose),Consult a doctor,Consult a doctor,"These are usually mild but if they bother you or do not go away, your doctor may be able to suggest ways of preventing or reducing them.It is generally a safe medicine but, before taking it, talk to your doctor about any health problems you have such as heart problems or high blood pressure (hypertension) or overactive thyroid gland or glaucoma or prostate enlargement","Nasal irritation, Dry nose, Nausea, Headache, Burning sensation","Xylometazoline (0.05% w/v), RESPIRATORY"
Actowin 0.05% Nasal Drops,Treatment of Nasal congestion (blocked nose),Consult a doctor,Consult a doctor,"These are usually mild but if they bother you or do not go away, your doctor may be able to suggest ways of preventing or reducing them.It is generally a safe medicine but, before taking it, talk to your doctor about any health problems you have such as heart problems or high blood pressure (hypertension) or overactive thyroid gland or glaucoma or prostate enlargement","Nasal irritation, Dry nose, Nausea, Headache, Burning sensation","Xylometazoline (0.05% w/v), RESPIRATORY"
Akurit 4 Tablet,Treatment of Tuberculosis (TB),It prevents the growth of the microorganisms that cause the infection.Akurit 4 Tablet is a prescription medicine and it is to be taken it as suggested by the doctor.,Consult a doctor,"If any of the side effects get aggravated, you must consult your doctor immediately","Nausea, Vomiting, Rash, Fever, Dark colored urine, Sweating, Increased sputum production, Salivation, Watery eyes, Peripheral neuropathy (tingling and numbness of feet and hand), Increased liver enzymes, Jaundice, Increased uric acid level in blood, Visual impairment","Isoniazid (75mg), Rifampicin (150mg), Isoniazid (75mg) + Rifampicin (150mg) + Ethambutol (275mg) + Pyrazinamide (400mg), ANTI INFECTIVES"
Ancool Oral Suspension Sugar Free,Acidity. Heartburn. Stomach ulcers,It also neutralizes excessive acid in the stomach and helps in easy passage of gas.Ancool Oral Suspension Sugar Free is taken without food in a dose and duration as advised by the doctor.,Consult a doctor,"Ancool Oral Suspension Sugar Free is a combination medicine used in the treatment of acidity, stomach ulcer and heartburn. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine","Diarrhea, Constipation, Allergic reaction","Aluminium Hydroxide (300mg/5ml), Milk Of Magnesia (150mg/5ml), Aluminium Hydroxide (300mg/5ml) + Milk Of Magnesia (150mg/5ml) + Simethicone (125mg/5ml) + Oxetacaine (10mg/5ml), GASTRO INTESTINAL"
Beclocid G Ointment,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Canditas BG Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Canditas BGN 0.1% Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Clobeta GM Cream,Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Thinning of skin, Application site reactions (burning, irritation, itching and redness), Dryness","Clobetasol (0.05% w/w), Neomycin (0.5% w/w), Clobetasol (0.05% w/w) + Miconazole (2% w/w) + Neomycin (0.5% w/w), DERMA"
Clowin gm Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Dewderm Ointment,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Diprogen Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Kenacort 10mg Injection,Treatment of Rheumatoid arthritis. Treatment of Osteoarthritis,Consult a doctor,Consult a doctor,"In general, you should try to avoid situations which make your symptoms worse (things like pollen and dust mites) and it is best not to smoke.Before starting to use Kenacort 10mg Injection you should let your doctor know if you are pregnant or breastfeeding, discuss the risks and benefits with your healthcare team","Infection, Increased risk of infection, Headache, Joint pain, Injection site reactions (pain, swelling, redness)","Triamcinolone (10mg), DERMA"
Leucorin Tablet,Prevention of Harmful effects of methotrexate,"It is also used to treat overdose of methotrexate.Leucorin Tablet can be taken with or without food, but try to have it at the same time every day to get the most benefits.",Consult a doctor,"Regular blood tests are required to check your blood cells and serum methotrexate concentration in blood.Before taking it, tell your doctor if have seizures, liver, or kidney problems or are taking any medicines to treat infections. It is also used to treat overdose of methotrexate.Leucorin Tablet can be taken with or without food, but try to have it at the same time every day to get the most benefits",No common side effects seen,"Calcium Leucovorin (15mg), BLOOD RELATED"
Lotril BG Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Magnaderm Ointment,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Maxiderm RF Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Mycurit 4 mg Tablet,Treatment of Tuberculosis (TB),It prevents the growth of the microorganisms that cause the infection.Mycurit 4 mg Tablet is a prescription medicine and it is to be taken it as suggested by the doctor.,Consult a doctor,"If any of the side effects get aggravated, you must consult your doctor immediately","Nausea, Vomiting, Rash, Fever, Dark colored urine, Sweating, Increased sputum production, Salivation, Watery eyes, Peripheral neuropathy (tingling and numbness of feet and hand), Increased liver enzymes, Jaundice, Increased uric acid level in blood, Visual impairment","Isoniazid (75mg), Rifampicin (150mg), Isoniazid (75mg) + Rifampicin (150mg) + Ethambutol (275mg) + Pyrazinamide (400mg), ANTI INFECTIVES"
Myderm Ointment,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Nasopil Paediatric Nasal Drops,Treatment of Nasal congestion (blocked nose),Consult a doctor,"Nasopil Paediatric Nasal Drops is a medicine used to treat nasal congestion (blocked nose) caused by the common cold or flu, hay fever, and other allergies.","These are usually mild but if they bother you or do not go away, your doctor may be able to suggest ways of preventing or reducing them.It is generally a safe medicine but, before taking it, talk to your doctor about any health problems you have such as heart problems or high blood pressure (hypertension) or overactive thyroid gland or glaucoma or prostate enlargement","Nasal irritation, Dry nose, Nausea, Headache, Burning sensation","Xylometazoline (0.05% w/v), RESPIRATORY"
Noblock P 0.05% Nasal Drops,Treatment of Nasal congestion (blocked nose),Consult a doctor,Consult a doctor,"These are usually mild but if they bother you or do not go away, your doctor may be able to suggest ways of preventing or reducing them.It is generally a safe medicine but, before taking it, talk to your doctor about any health problems you have such as heart problems or high blood pressure (hypertension) or overactive thyroid gland or glaucoma or prostate enlargement","Nasal irritation, Dry nose, Nausea, Headache, Burning sensation","Xylometazoline (0.05% w/v), RESPIRATORY"
Ozoderm Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Pentaxim Vaccine,Prevention of Tetanus. Prevention of Diphtheria. Prevention of Influenza (flu). Prevention of Pertussis. Prevention of Polio,Consult a doctor,Consult a doctor,Consult a doctor,"Loss of appetite, Nervousness, Unusual crying, Sleepiness, Vomiting, Injection site redness, Injection site swelling, Injection site pain, Injection site induration (hardening of a normally soft tissue or organ), Fever, Diarrhea, Insomnia (difficulty in sleeping), Sleep disorder","Diphtheria Toxoid (30IU), Haemophilus Influenzae Type B Capsular Polysaccharide (10mcg), VACCINES"
Sigmaderm Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Supramin Ointment,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Translipo Triple Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Tresivac Vaccine,Prevention of Measles. Prevention of Rubella. Prevention of Mumps,Do not skip any doses and follow your doctor’s instructions carefully to get maximum benefit.Tresivac Vaccine is generally safe to use with minimal side effects.,Consult a doctor,Please consult your doctor if these do not subside or bother you. Do not skip any doses and follow your doctor’s instructions carefully to get maximum benefit.Tresivac Vaccine is generally safe to use with minimal side effects,"Rash, Injection site soreness, Fever","Measles Vaccine (Live) (1000ccid50), Mumps Virus Vaccine (5000ccid50), Measles Vaccine (Live) (1000ccid50) + Mumps Virus Vaccine (5000ccid50) + Rubella vaccine (Live) (1000ccid50), VACCINES"
Zyderm Ointment,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.025% w/w), Clotrimazole (1% w/w), Beclometasone (0.025% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.1% w/w), DERMA"
Betnelan Tablet,Treatment of Allergic conditions,It is also used to treat many other medical problems that require either reduction of inflammation or suppression of the immune system.Betnelan Tablet may be taken with or without food.,Consult a doctor,"If this medicine is used for a long time, you may have to get regular tests to check your bone density.Before using this medicine, inform your doctor if you are allergic to any medicine or have liver problems. Do not stop taking the medicine even if you feel better unless the doctor tells you so.Using of the medicine may cause few common side effects such as a reduction in bone density and an upset stomach","Reduction in bone density, Upset stomach","Betamethasone (0.5mg), RESPIRATORY"
Betnesol Oral Drops,Treatment of Allergic conditions,It is also used to treat many other medical problems that require either reduction of inflammation or suppression of the immune system.Betnesol Oral Drops may be taken with or without food.,Consult a doctor,"If this medicine is used for a long time, you may have to get regular tests to check your bone density.Before using this medicine, inform your doctor if you are allergic to any medicine or have liver problems. Do not stop taking the medicine even if you feel better unless the doctor tells you so.Using of the medicine may cause few common side effects such as a reduction in bone density and an upset stomach","Reduction in bone density, Upset stomach","Betamethasone (0.5mg), RESPIRATORY"
Betnesol Tablet,Treatment of Allergic conditions,It is also used to treat many other medical problems that require either reduction of inflammation or suppression of the immune system.Betnesol Tablet may be taken with or without food.,Consult a doctor,"If this medicine is used for a long time, you may have to get regular tests to check your bone density.Before using this medicine, inform your doctor if you are allergic to any medicine or have liver problems. Do not stop taking the medicine even if you feel better unless the doctor tells you so.Using of the medicine may cause few common side effects such as a reduction in bone density and an upset stomach","Reduction in bone density, Upset stomach","Betamethasone (0.5mg), RESPIRATORY"
Endoxan 1000mg Injection,Cancer. Nephrotic syndrome,"It may be also used to treat other conditions, as determined by the doctor.Endoxan 1000mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day.",It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked.,"It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked. It may be also used to treat other conditions, as determined by the doctor.Endoxan 1000mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day","Vomiting, Nausea, Hair loss, Fever, Blood in urine, Diarrhea, Decreased white blood cell count (neutrophils)","Cyclophosphamide (1000mg), ANTI NEOPLASTICS"
Endoxan N 200mg Injection,Cancer. Nephrotic syndrome,"It may be also used to treat other conditions, as determined by the doctor.Endoxan N 200mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day.",It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked.,"It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked. It may be also used to treat other conditions, as determined by the doctor.Endoxan N 200mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day","Vomiting, Nausea, Hair loss, Fever, Blood in urine, Diarrhea, Decreased white blood cell count (neutrophils)","Cyclophosphamide (200mg), ANTI NEOPLASTICS"
Endoxan N 500mg Injection,Cancer. Nephrotic syndrome,"It may be also used to treat other conditions, as determined by the doctor.Endoxan N 500mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day.",It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked.,"It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked. It may be also used to treat other conditions, as determined by the doctor.Endoxan N 500mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day","Vomiting, Nausea, Hair loss, Fever, Blood in urine, Diarrhea, Decreased white blood cell count (neutrophils)","Cyclophosphamide (500mg), ANTI NEOPLASTICS"
MMF -S Tablet,Prevention of organ rejection in transplant patients,"You should take it on an empty stomach, at least 1 hour before or 2 hours after a meal.",Consult a doctor,"It is used with other medicines to prevent your body from rejecting an organ (such as a kidney, heart or liver) after a transplant. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by, this medicine","Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count (neutrophils)","Mycophenolate sodium (360mg), Mycophenolate mofetil (360mg), ANTI NEOPLASTICS"
Mepal 150mg/1500mcg Tablet,Diabetic nerve pain,"It is used along with other blood sugar lowering medications in order to prevent further nerve injury.Mepal 150mg/1500mcg Tablet may be taken with or without food, but you should try to take it at the same time every day.",Consult a doctor,"If you do, your blood sugar levels may increase and put you at risk of serious complications like kidney damage and blindness. It is used along with other blood sugar lowering medications in order to prevent further nerve injury.Mepal 150mg/1500mcg Tablet may be taken with or without food, but you should try to take it at the same time every day","Nausea, Vomiting, Increased liver enzymes","Epalrestat (150mg), Methylcobalamin (1500mcg), Epalrestat (150mg) + Methylcobalamin (1500mcg), ANTI DIABETIC"
Mycept-S 360 Tablet,Prevention of organ rejection in transplant patients,"You should take it on an empty stomach, at least 1 hour before or 2 hours after a meal.",Consult a doctor,"It is used with other medicines to prevent your body from rejecting an organ (such as a kidney, heart or liver) after a transplant. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by, this medicine","Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count (neutrophils)","Mycophenolate sodium (360mg), Mycophenolate mofetil (360mg), ANTI NEOPLASTICS"
Mycofit-S 360 Tablet,Prevention of organ rejection in transplant patients,"You should take it on an empty stomach, at least 1 hour before or 2 hours after a meal.",Consult a doctor,"It is used with other medicines to prevent your body from rejecting an organ (such as a kidney, heart or liver) after a transplant. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by, this medicine","Nausea, Vomiting, Diarrhea, Abdominal pain, Headache, High blood pressure, Decreased white blood cell count (neutrophils)","Mycophenolate sodium (360mg), Mycophenolate mofetil (360mg), ANTI NEOPLASTICS"
Priorix Vaccine,Prevention of Measles. Prevention of Rubella. Prevention of Mumps,Do not skip any doses and follow your doctor’s instructions carefully to get maximum benefit.Priorix Vaccine is generally safe to use with minimal side effects.,Consult a doctor,Please consult your doctor if these do not subside or bother you. Do not skip any doses and follow your doctor’s instructions carefully to get maximum benefit.Priorix Vaccine is generally safe to use with minimal side effects,"Rash, Injection site soreness, Fever","Measles Vaccine (Live) (1000ccid50), Mumps Virus Vaccine (5000ccid50), Measles Vaccine (Live) (1000ccid50) + Mumps Virus Vaccine (5000ccid50) + Rubella vaccine (Live) (1000ccid50), VACCINES"
Ropark 0.25 Tablet,Parkinson's disease. Restless leg syndrome,It helps to treat excessive shaking by slowing down the body movements.Ropark 0.25 Tablet should be taken with food.,Consult a doctor,"Inform your doctor if you develop any unusual changes in mood, an abnormally high sex drive, an urge to gamble or uncontrolled spending as these may prove very harmful. You should never skip any doses and finish the full course of treatment even if you feel better","Headache, Dizziness, Fainting, Sleepiness, Vomiting, Weakness, Nausea, Edema (swelling), Abnormality of voluntary movements, Indigestion, Hallucination, Confusion, Viral infection","Ropinirole (0.25mg), NEURO CNS"
Walacort Tablet,Treatment of Allergic conditions,It is also used to treat many other medical problems that require either reduction of inflammation or suppression of the immune system.Walacort Tablet may be taken with or without food.,Consult a doctor,"If this medicine is used for a long time, you may have to get regular tests to check your bone density.Before using this medicine, inform your doctor if you are allergic to any medicine or have liver problems. Do not stop taking the medicine even if you feel better unless the doctor tells you so.Using of the medicine may cause few common side effects such as a reduction in bone density and an upset stomach","Reduction in bone density, Upset stomach","Betamethasone (0.5mg), RESPIRATORY"
Cyclocel 500mg Injection,Cancer. Nephrotic syndrome,"It may be also used to treat other conditions, as determined by the doctor.Cyclocel 500mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day.",It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked.,"It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked. It may be also used to treat other conditions, as determined by the doctor.Cyclocel 500mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day","Vomiting, Nausea, Hair loss, Fever, Blood in urine, Diarrhea, Decreased white blood cell count (neutrophils)","Cyclophosphamide (500mg), ANTI NEOPLASTICS"
Cycloxan 500mg Injection,Cancer. Nephrotic syndrome,"It may be also used to treat other conditions, as determined by the doctor.Cycloxan 500mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day.",It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked.,"It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked. It may be also used to treat other conditions, as determined by the doctor.Cycloxan 500mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day","Vomiting, Nausea, Hair loss, Fever, Blood in urine, Diarrhea, Decreased white blood cell count (neutrophils)","Cyclophosphamide (500mg), ANTI NEOPLASTICS"
Istamet 50mg/500mg Tablet,Treatment of Type 2 diabetes mellitus,"The dose you are given will depend on your condition, blood sugar levels, and what other medicines you are taking.",Consult a doctor,This helps prevent serious complications of diabetes such as kidney damage and blindness and may reduce your chance of having a heart attack or stroke.Istamet 50mg/500mg Tablet can be prescribed alone or together with other diabetes medications,"Hypoglycemia (low blood glucose level), Nausea, Vomiting, Diarrhea, Decreased appetite, Abdominal bloating, Upper respiratory tract infection","Sitagliptin (50mg), Metformin (500mg), Sitagliptin (50mg) + Metformin (500mg), ANTI DIABETIC"
